tesArea Type,Metric,Median,P25,P75,Min,Max,Sample Size
urban_core,active_outdoors.parks_1km,18,8.0,36.0,0,63,19
urban_core,active_outdoors.playgrounds_1km,0,0.0,0.0,0,0,19
urban_core,active_outdoors.park_area_hectares,9.8198,5.2054,22.928,0.0,353.4289,19
urban_core,active_outdoors.trails_15km,64,27.0,100.0,4,249,19
urban_core,active_outdoors.water_15km,51,26.0,299.0,0,402,19
urban_core,active_outdoors.camping_15km,1,0.0,2.0,0,5,19
urban_core,active_outdoors.closest_water_km,1.3900000000000001,0.85025,2.2394999999999996,0.238,6.371,18
urban_core,healthcare.hospitals_20km,15,5.0,47.0,0,128,19
urban_core,healthcare.pharmacies_8km,21,8.0,50.0,0,441,19
urban_core,healthcare.clinics_5km,17,4.0,58.0,0,141,19
urban_core,healthcare.closest_hospital_km,1.5325,0.53,2.3417499999999998,0.023,5.271,16
urban_core,amenities.businesses_1km,170,70.0,406.0,0,1182,19
urban_core,amenities.business_types,14,12.0,15.0,0,16,19
urban_core,amenities.restaurants_1km,89,31.0,171.0,0,642,19
urban_core,amenities.median_distance_m,630.5,485.0,695.875,275.5,836.5,18
suburban,active_outdoors.parks_1km,10,3.5,14.5,0,22,13
suburban,active_outdoors.playgrounds_1km,0,0.0,0.0,0,0,13
suburban,active_outdoors.park_area_hectares,13.5385,3.9912,31.44615,0.0,70.7099,13
suburban,active_outdoors.trails_15km,9,5.5,18.0,2,123,13
suburban,active_outdoors.water_15km,17,2.0,58.0,0,323,13
suburban,active_outdoors.camping_15km,1,1.0,5.5,0,16,13
suburban,active_outdoors.closest_water_km,2.34,0.425,4.34,0.287,7.576,11
suburban,healthcare.hospitals_20km,3,1.0,5.5,0,30,13
suburban,healthcare.pharmacies_8km,2,0.0,6.5,0,13,13
suburban,healthcare.clinics_5km,0,0.0,6.5,0,20,13
suburban,healthcare.closest_hospital_km,2.828,1.827,5.415,0.191,9.641,11
suburban,amenities.businesses_1km,65,20.0,117.5,0,155,13
suburban,amenities.business_types,12,6.5,12.0,0,15,13
suburban,amenities.restaurants_1km,27,8.0,41.5,0,61,13
suburban,amenities.median_distance_m,389.0,191.0,543.0,146.0,788.5,11
exurban,active_outdoors.parks_1km,2,0.0,7.0,0,10,11
exurban,active_outdoors.playgrounds_1km,0,0.0,0.0,0,0,11
exurban,active_outdoors.park_area_hectares,0.8575,0.0,18.8718,0.0,29.2023,11
exurban,active_outdoors.trails_15km,12,5.0,40.0,0,51,11
exurban,active_outdoors.water_15km,13,3.0,44.0,0,231,11
exurban,active_outdoors.camping_15km,2,1.0,5.0,0,16,11
exurban,active_outdoors.closest_water_km,3.4524999999999997,0.8932500000000001,6.2082500000000005,0.795,11.023,10
exurban,healthcare.hospitals_20km,1,1.0,3.0,0,5,11
exurban,healthcare.pharmacies_8km,1,0.0,5.0,0,8,11
exurban,healthcare.clinics_5km,0,0.0,1.0,0,6,11
exurban,healthcare.closest_hospital_km,1.352,0.8075,4.0105,0.581,15.871,9
exurban,amenities.businesses_1km,40,12.0,50.0,5,134,11
exurban,amenities.business_types,9,6.0,12.0,4,13,11
exurban,amenities.restaurants_1km,17,4.0,30.0,1,49,11
exurban,amenities.median_distance_m,311.0,199.0,695.0,115.0,840.0,11
rural,active_outdoors.parks_1km,4.5,1.75,7.25,0,9,10
rural,active_outdoors.playgrounds_1km,0.0,0.0,0.0,0,0,10
rural,active_outdoors.park_area_hectares,8.4187,1.18765,26.478299999999997,0.0,29.2023,10
rural,active_outdoors.trails_15km,10.5,3.75,21.25,0,116,10
rural,active_outdoors.water_15km,9.0,2.5,71.25,0,175,10
rural,active_outdoors.camping_15km,1.5,0.75,5.5,0,9,10
rural,active_outdoors.closest_water_km,2.571,0.7110000000000001,7.28,0.337,11.023,9
rural,healthcare.hospitals_20km,1.0,0.0,3.5,0,5,10
rural,healthcare.pharmacies_8km,1.0,0.0,4.25,0,8,10
rural,healthcare.clinics_5km,0.0,0.0,1.5,0,6,10
rural,healthcare.closest_hospital_km,1.222,0.735,1.517,0.581,4.353,7
rural,amenities.businesses_1km,15.5,4.0,48.0,0,50,10
rural,amenities.business_types,6.0,3.25,12.0,0,13,10
rural,amenities.restaurants_1km,8.5,1.0,20.5,0,27,10
rural,amenities.median_distance_m,662.0,305.5,778.0,203.0,989.0,9
